"","date","mortality_rate"
"1",2020-07-27,8.85980141742351e-05
"2",2020-07-28,0.000940093412570444
"3",2020-07-29,0.00523811068321941
"4",2020-07-30,0.0131747666366076
"5",2020-07-31,0.0225637908713122
"6",2020-08-01,0.0248289596668697
"7",2020-08-02,0.0248289596668697
"8",2020-08-03,0.0371666962023135
"9",2020-08-04,0.0481185570330202
"10",2020-08-05,0.061879221635183
"11",2020-08-06,0.0748708087239992
"12",2020-08-07,0.0877047756870239
"13",2020-08-08,0.0906404916813134
"14",2020-08-09,0.0906826330727051
"15",2020-08-10,0.106542680374013
"16",2020-08-11,0.122571706272276
"17",2020-08-12,0.142678576334538
"18",2020-08-13,0.162731637129027
"19",2020-08-14,0.181517121753894
"20",2020-08-15,0.182319179396642
"21",2020-08-16,0.183301339147659
"22",2020-08-17,0.207867004337574
"23",2020-08-18,0.230809220899696
"24",2020-08-19,0.257513303142856
"25",2020-08-20,0.281963120057457
"26",2020-08-21,0.300656593078393
"27",2020-08-22,0.305628928440464
"28",2020-08-23,0.30595371133669
"29",2020-08-24,0.332340005103298
"30",2020-08-25,0.358853647218754
"31",2020-08-26,0.385782222843896
"32",2020-08-27,0.41249686086562
"33",2020-08-28,0.434541475860438
"34",2020-08-29,0.439338718140613
"35",2020-08-30,0.439574087811789
"36",2020-08-31,0.467971344794937
"37",2020-09-01,0.462295493795231
"38",2020-09-02,0.489774625943666
"39",2020-09-03,0.516305336123011
"40",2020-09-04,0.536501639184966
"41",2020-09-05,0.539507385131526
"42",2020-09-06,0.539987028964202
"43",2020-09-07,0.541433400582587
"44",2020-09-08,0.566751423643905
"45",2020-09-09,0.591722232424682
"46",2020-09-10,0.616395501646298
"47",2020-09-11,0.636894934064318
"48",2020-09-12,0.638571761442451
"49",2020-09-13,0.638916673110238
"50",2020-09-14,0.651358213595404
"51",2020-09-15,0.66276700537795
"52",2020-09-16,0.676343383988982
"53",2020-09-17,0.688887528020482
"54",2020-09-18,0.698706864244174
"55",2020-09-19,0.699352209876766
"56",2020-09-20,0.699413827928887
"57",2020-09-21,0.711390421016625
"58",2020-09-22,0.721800289554288
"59",2020-09-23,0.731469227263006
"60",2020-09-24,0.740473987271522
"61",2020-09-25,0.751573434269508
"62",2020-09-26,0.75167293109335
"63",2020-09-27,0.75167293109335
"64",2020-09-28,0.754440171157987
"65",2020-09-29,0.756313197035307
"66",2020-09-30,0.758076115230517
"67",2020-10-01,0.770301801708288
"68",2020-10-02,0.772509883269366
"69",2020-10-03,0.772509883269366
"70",2020-10-04,0.772527529132324
"71",2020-10-05,0.775961006581882
"72",2020-10-06,0.779451213915731
"73",2020-10-07,0.782821023272515
"74",2020-10-08,0.787508375021117
"75",2020-10-09,0.792077995305383
"76",2020-10-10,0.792447666194519
"77",2020-10-11,0.792447666194519
"78",2020-10-12,0.799099254663575
"79",2020-10-13,0.806371545047386
"80",2020-10-14,0.81274523616338
"81",2020-10-15,0.819716265453752
"82",2020-10-16,0.823869361279204
"83",2020-10-17,0.824236274588704
"84",2020-10-18,0.824324347739944
"85",2020-10-19,0.831184365625891
"86",2020-10-20,0.840437979793472
"87",2020-10-21,0.848683490925715
"88",2020-10-22,0.85602731594108
"89",2020-10-23,0.861094268298784
"90",2020-10-24,0.861968561437158
"91",2020-10-25,0.861968561437158
"92",2020-10-26,0.866388118966121
"93",2020-10-27,0.869825723185259
"94",2020-10-28,0.873473668451111
"95",2020-10-29,0.877708920264004
"96",2020-10-30,0.879843497495272
"97",2020-10-31,0.879843497495272
"98",2020-11-01,0.965975978740963
"99",2020-11-02,0.966143756439721
"100",2020-11-03,0.966380343589049
"101",2020-11-04,0.966459216919631
"102",2020-11-05,0.966615362465776
"103",2020-11-06,0.966640794144543
"104",2020-11-07,0.966640794144543
"105",2020-11-08,0.966640794144543
"106",2020-11-09,0.966679688196395
"107",2020-11-10,0.966684810759873
"108",2020-11-11,0.966811826379128
"109",2020-11-12,0.967010775389425
"110",2020-11-13,0.967173049025922
"111",2020-11-14,0.967179751866305
"112",2020-11-15,0.967179751866305
"113",2020-11-16,0.96736345083179
"114",2020-11-17,0.967556777765865
"115",2020-11-18,0.967708395576116
"116",2020-11-19,0.968038723924705
"117",2020-11-20,0.96821727321315
"118",2020-11-21,0.968230678893915
"119",2020-11-22,0.968230678893915
"120",2020-11-23,0.968693133152417
"121",2020-11-24,0.968893202822135
"122",2020-11-25,0.969031090840366
"123",2020-11-26,0.969031090840366
"124",2020-11-27,0.969031090840366
"125",2020-11-28,0.969031090840366
"126",2020-11-29,0.969031090840366
"127",2020-11-30,0.969259289121489
"128",2020-12-01,1.12524674916934
"129",2020-12-02,1.12556751514928
"130",2020-12-03,1.12582759344316
"131",2020-12-04,1.12590223642461
"132",2020-12-05,1.12591269871449
"133",2020-12-06,1.12591269871449
"134",2020-12-07,1.12616459290054
"135",2020-12-08,1.12667916866268
"136",2020-12-09,1.12669515543811
"137",2020-12-10,1.12671475067717
"138",2020-12-11,1.12672715522893
"139",2020-12-12,1.12672715522893
"140",2020-12-13,1.12672715522893
"141",2020-12-14,1.12672715522893
"142",2020-12-15,1.12672818192477
"143",2020-12-16,1.12672911785823
"144",2020-12-17,1.12673065282009
"145",2020-12-18,1.12673065282009
"146",2020-12-19,1.12673065282009
"147",2020-12-20,1.12673065282009
"148",2020-12-21,1.12673158875354
"149",2020-12-22,1.12673814028774
"150",2020-12-23,1.12673814028774
"151",2020-12-24,1.12673814028774
"152",2020-12-25,1.12673814028774
"153",2020-12-26,1.12673814028774
"154",2020-12-27,1.12673814028774
