File,Trial Site ID,Subjects Screened,Subjects Randomized
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1107,219,200
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1109,559,555
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1110,379,373
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1111,207,205
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1112,350,342
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1114,127,124
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1116,326,314
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1117,199,183
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1118,130,129
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1120,434,370
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1121,122,120
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1122,57,54
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1123,408,396
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1124,235,235
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1125,238,213
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1126,211,211
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1127,114,108
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1128,385,376
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1129,254,246
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1130,98,98
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1131,264,236
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1133,649,612
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1134,439,423
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1135,570,538
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1136,111,103
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1139,134,126
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1140,313,292
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1141,269,259
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1142,309,296
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1145,113,104
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1146,395,373
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1147,249,234
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1149,344,336
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1150,149,145
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1152,588,576
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1156,300,295
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1157,178,172
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1161,44,43
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1162,587,572
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1163,146,142
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1166,107,106
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1167,232,229
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1168,240,239
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1169,75,75
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1170,497,494
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1171,306,303
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1174,71,68
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1177,565,565
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1178,317,314
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1179,174,173
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1204,290,279
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1218,20,20
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1219,39,38
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1220,48,39
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1221,40,34
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1223,265,251
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1224,163,163
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1232,435,429
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1235,228,223
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1248,252,238
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1251,264,256
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1252,40,39
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1254,213,206
